Date,MA,IBM,GM,ACN,FDX
2021-09-10,347.3900,137.0200,49.4900,341.9200,257.5500
2021-09-03,340.2300,139.5800,48.8200,343.3300,266.0400
2021-08-27,355.7300,139.4100,49.8000,335.6600,267.9000
2021-08-20,354.9900,139.1100,48.8000,332.6500,266.5500
2021-08-13,362.7500,143.1800,53.6500,323.4500,277.1800
2021-08-06,374.5300,144.0900,55.0500,321.8300,276.2700
2021-07-30,385.9400,140.9600,56.8400,317.6800,279.9500
2021-07-23,393.2600,141.3400,54.9400,318.6500,297.0700
2021-07-16,387.1200,138.9000,55.4600,311.9100,292.4900
2021-07-09,372.9400,141.5200,58.7600,312.6200,296.4000
2021-07-02,375.0300,140.0200,58.9600,304.8400,299.3800
2021-06-25,379.6100,146.8400,60.3000,294.6600,291.9500
2021-06-18,367.4200,143.1200,58.7600,281.2500,285.3200
2021-06-11,365.5000,151.2800,61.4900,285.2800,296.0900
2021-06-04,366.0200,147.4200,63.3700,283.1700,302.1200
2021-05-28,360.5800,143.7400,59.3100,282.1600,314.8100
2021-05-21,367.6000,144.7400,56.7200,283.3800,309.6000
2021-05-14,363.9100,144.6800,56.0000,288.2000,309.4300
2021-05-07,375.4000,145.4600,58.9900,291.5300,314.6900
2021-04-30,382.0600,141.8800,57.2200,289.9700,290.3100
2021-04-23,387.0600,142.4300,57.5300,291.7400,277.7400
2021-04-16,386.1700,133.5900,58.7100,286.9600,287.5900
2021-04-09,380.0800,135.7300,60.1600,287.7100,286.5800
2021-04-02,NaN,NaN,NaN,NaN,NaN
2021-03-26,366.1400,136.3800,56.5200,280.7700,281.3400
2021-03-19,356.5100,128.9000,59.8200,263.7800,279.5800
2021-03-12,382.7100,127.6100,59.2600,264.9500,270.2000
2021-03-05,360.8800,122.8300,53.7500,249.5100,257.2900
2021-02-26,353.8500,118.9300,51.3300,250.9000,254.5000
2021-02-19,333.1700,118.9900,52.5700,254.2900,254.6400
2021-02-12,341.0000,120.8000,53.6000,257.4700,263.0000
2021-02-05,338.7500,121.7900,54.4100,253.5400,255.0100
2021-01-29,316.2900,119.1100,50.6800,241.9200,235.3400
2021-01-22,328.9900,118.6100,55.4000,254.7700,254.0800
2021-01-15,323.2600,128.3900,49.9700,253.6500,252.5600
2021-01-08,353.8500,128.5300,43.0600,264.1600,244.9600
2021-01-01,NaN,NaN,NaN,NaN,NaN
2020-12-25,NaN,NaN,NaN,NaN,NaN
2020-12-18,340.3300,125.8500,41.0100,266.2500,275.5700
2020-12-11,327.4200,124.2700,41.9200,245.8300,289.4700
2020-12-04,344.3500,127.2000,44.4000,253.4400,294.8800
2020-11-27,339.0700,124.3500,45.0600,250.1200,287.4100
2020-11-20,323.0000,116.9400,43.0400,243.4400,276.6900
2020-11-13,335.0300,116.8500,41.1900,241.7800,271.9100
